sales_month,naics_code,kind_of_business,reason_for_null,sales
"1992-01-01","441","Motor vehicle and parts dealers",,29811
"1992-01-01","4411","Automobile dealers",,25800
"1992-01-01","4411, 4412","Automobile and other motor vehicle dealers",,26788
"1992-01-01","44111","New car dealers",,24056
"1992-01-01","44112","Used car dealers",,1744
"1992-01-01","4413","Automotive parts, acc., and tire stores",,3023
"1992-01-01","442","Furniture and home furnishings stores",,3846
"1992-01-01","442, 443","Furniture, home furn, electronics, and appliance stores",,7503
"1992-01-01","4421","Furniture stores",,2392
"1992-01-01","4422","Home furnishings stores",,1454
"1992-01-01","44221","Floor covering stores",,728
"1992-01-01","442299","All other home furnishings stores","Not Available",
"1992-01-01","443","Electronics and appliance stores",,3657
"1992-01-01","443141","Household appliance stores",,601
"1992-01-01","443142","Electronics stores","Not Available",
"1992-01-01","444","Building mat. and garden equip. and supplies dealers",,8964
"1992-01-01","4441","Building mat. and supplies dealers",,7637
"1992-01-01","44412","Paint and wallpaper stores","Not Available",
"1992-01-01","44413","Hardware stores",,842
"1992-01-01","445","Food and beverage stores",,29589
"1992-01-01","4451","Grocery stores",,27306
"1992-01-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1992-01-01","4453","Beer, wine, and liquor stores",,1509
"1992-01-01","446","Health and personal care stores",,7258
"1992-01-01","44611","Pharmacies and drug stores",,6358
"1992-01-01","447","Gasoline stations",,12099
"1992-01-01","448","Clothing and clothing access. stores",,6938
"1992-01-01","4481","Clothing stores",,4852
"1992-01-01","44811","Men's clothing stores",,701
"1992-01-01","44812","Women's clothing stores",,1873
"1992-01-01","44814","Family clothing stores",,1649
"1992-01-01","44819","Other clothing stores","Not Available",
"1992-01-01","4482","Shoe stores",,1206
"1992-01-01","44831","Jewelry stores",,796
"1992-01-01","451","Sporting goods, hobby, musical instrument, and book stores",,3023
"1992-01-01","45111","Sporting goods stores",,972
"1992-01-01","45112","Hobby, toy, and game stores",,620
"1992-01-01","451211","Book stores",,790
"1992-01-01","452","General merchandise stores",,14996
"1992-01-01","4521","Department stores",,10306
"1992-01-01","452111","Department stores(excl. discount department stores)",,4818
"1992-01-01","452112","Discount dept. stores",,5488
"1992-01-01","4529","Other general merchandise stores",,4690
"1992-01-01","45291","Warehouse clubs and superstores",,2579
"1992-01-01","45299","All other gen. merchandise stores",,2111
"1992-01-01","453","Miscellaneous store retailers",,3642
"1992-01-01","4532","Office supplies, stationery, and gift stores",,1446
"1992-01-01","45321","Office supplies and stationery stores",,788
"1992-01-01","45322","Gift, novelty, and souvenir stores",,658
"1992-01-01","45330","Used merchandise stores",,371
"1992-01-01","454","Nonstore retailers",,6860
"1992-01-01","4541","Electronic shopping and mail-order houses",,2692
"1992-01-01","45431","Fuel dealers",,1916
"1992-01-01","722","Food services and drinking places",,15693
"1992-01-01","7224","Drinking places",,1049
"1992-01-01","7225","Restaurants and other eating places",,13325
"1992-01-01","722511","Full service restaurants",,6887
"1992-01-01","722513, 722514, 722515","Limited service eating places",,6438
"1992-01-01",,"Retail and food services sales, total",,146376
"1992-01-01",,"Retail sales, total",,130683
"1992-01-01",,"Retail sales and food services excl gasoline stations",,134277
"1992-01-01",,"Retail sales and food services excl motor vehicle and parts",,116565
"1992-01-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,100872
"1992-01-01",,"GAFO(1)",,33906
"1992-01-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,104466
"1992-02-01","441","Motor vehicle and parts dealers",,31217
"1992-02-01","4411","Automobile dealers",,27031
"1992-02-01","4411, 4412","Automobile and other motor vehicle dealers",,28203
"1992-02-01","44111","New car dealers",,25041
"1992-02-01","44112","Used car dealers",,1990
"1992-02-01","4413","Automotive parts, acc., and tire stores",,3014
"1992-02-01","442","Furniture and home furnishings stores",,3908
"1992-02-01","442, 443","Furniture, home furn, electronics, and appliance stores",,7398
"1992-02-01","4421","Furniture stores",,2460
"1992-02-01","4422","Home furnishings stores",,1448
"1992-02-01","44221","Floor covering stores",,731
"1992-02-01","442299","All other home furnishings stores","Not Available",
"1992-02-01","443","Electronics and appliance stores",,3490
