full_name,first_name,last_name,middle_name,nickname,suffix,other_names_end,other_names_middle,other_names_last,birthday,gender,id_bioguide,id_bioguide_previous_0,id_govtrack,id_icpsr,id_wikipedia,id_wikidata,id_google_entity_id,id_house_history,id_house_history_alternate,id_thomas,id_cspan,id_votesmart,id_lis,id_ballotpedia,id_opensecrets,id_fec_0,id_fec_1,id_fec_2
"Sherrod Brown","Sherrod","Brown",,,,,,,"1952-11-09","M","B000944",,400050,29389,"Sherrod Brown","Q381880","kg:/m/034s80",9996,,136,5051,27018,"S307","Sherrod Brown","N00003535","H2OH13033","S6OH00163",
"Maria Cantwell","Maria","Cantwell",,,,,,,"1958-10-13","F","C000127",,300018,39310,"Maria Cantwell","Q22250","kg:/m/01x68t",10608,,172,26137,27122,"S275","Maria Cantwell","N00007836","S8WA00194","H2WA01054",
"Benjamin L. Cardin","Benjamin","Cardin","L.",,,,,,"1943-10-05","M","C000141",,400064,15408,"Ben Cardin","Q723295","kg:/m/025k3k",10629,,174,4004,26888,"S308","Ben Cardin","N00001955","H6MD03177","S6MD03177",
"Thomas R. Carper","Thomas","Carper","Richard",,,,,,"1947-01-23","M","C000174",,300019,15015,"Tom Carper","Q457432","kg:/m/01xw7t",10671,,179,663,22421,"S277","Tom Carper","N00012508","S8DE00079",,
"Robert P. Casey, Jr.","Robert","Casey","P.","Bob","Jr.",,,,"1960-04-13","M","C001070",,412246,40703,"Bob Casey Jr.","Q887841","kg:/m/047ymw",,,1828,47036,2541,"S309","Bob Casey, Jr.","N00027503","S6PA00217",,
"Dianne Feinstein","Dianne","Feinstein",,,,,,,"1933-06-22","F","F000062",,300043,49300,"Dianne Feinstein","Q230733","kg:/m/01gqws",13044,,1332,13061,53273,"S221","Dianne Feinstein","N00007364","S0CA00199",,
"Russ Fulcher","Russ","Fulcher",,,,,,,"1973-07-19","M","F000469",,412773,21920,"Russ Fulcher","Q7381134","kg:/m/05h4vgh",,,,,33091,,,"N00041335","H8ID01124",,
"Amy Klobuchar","Amy","Klobuchar","Jean",,,,,,"1960-05-25","F","K000367",,412242,40700,"Amy Klobuchar","Q22237","kg:/m/05fbpt",16558,,1826,83701,65092,"S311","Amy Klobuchar","N00027500","S6MN00267",,
"Robert Menendez","Robert","Menendez",,"Bob",,,,"Menendez","1954-01-01","M","M000639",,400272,29373,"Bob Menendez","Q888132","kg:/m/033d3p",18124,,791,29608,26961,"S306","Bob Menendez","N00000699","H2NJ13075","S6NJ00289",
"Bernard Sanders","Bernard","Sanders",,"Bernie",,,,,"1941-09-08","M","S000033",,400357,29147,"Bernie Sanders","Q359442","kg:/m/01_gbv",21173,,1010,994,27110,"S313","Bernie Sanders","N00000528","H8VT01016","S4VT00033",
"Debbie Stabenow","Debbie","Stabenow","Ann",,,,,,"1950-04-29","F","S000770",,300093,29732,"Debbie Stabenow","Q241092","kg:/m/01xh64",22090,,1531,45451,515,"S284","Debbie Stabenow","N00004118","S8MI00281","H6MI08163",
"Jon Tester","Jon","Tester",,,,,,,"1956-08-21","M","T000464",,412244,40702,"Jon Tester","Q529351","kg:/m/066cdp",,,1829,1020176,20928,"S314","Jon Tester","N00027605","S6MT00162",,
"Sheldon Whitehouse","Sheldon","Whitehouse",,,,,,,"1955-10-20","M","W000802",,412247,40704,"Sheldon Whitehouse","Q652066","kg:/m/07qw94",,,1823,92235,2572,"S316","Sheldon Whitehouse","N00027533","S6RI00221",,
"Nanette Diaz Barragán","Nanette","Barragán",,,,,,,"1976-09-15","F","B001300",,412687,21703,"Nanette Barragán","Q21662745","kg:/g/11bx55ybbz",,,,104730,166270,,,"N00037019","H6CA44103",,
"John Barrasso","John","Barrasso","A.",,,,,,"1952-07-21","M","B001261",,412251,40707,"John Barrasso","Q720521","kg:/m/02rsm32",,,1881,1024777,52662,"S317","John Barrasso","N00006236","S6WY00068",,
"Roger F. Wicker","Roger","Wicker","F.",,,,,,"1951-07-05","M","W000437",,400432,29534,"Roger Wicker","Q390491","kg:/m/025xxb",23734,,1226,18203,21926,"S318","Roger Wicker","N00003280","H4MS01078","S8MS00196",
"Lamar Alexander","Lamar","Alexander",,,,,,,"1940-07-03","M","A000360",,300002,40304,"Lamar Alexander","Q419976","kg:/m/01rbs3",,,1695,5,15691,"S289","Lamar Alexander","N00009888","S2TN00058","P60003225",
"Susan M. Collins","Susan","Collins","M.",,,,,,"1952-12-07","F","C001035",,300025,49703,"Susan Collins","Q22279","kg:/m/020y8m",11742,,1541,45738,379,"S252","Susan Collins","N00000491","S6ME00159",,
"John Cornyn","John","Cornyn",,,,,,,"1952-02-02","M","C001056",,300027,40305,"John Cornyn","Q719568","kg:/m/01xcqs",,,1692,93131,15375,"S287","John Cornyn","N00024852","S2TX00106",,
