user_id,created,country
1000,"2020-01-01","Canada"
1001,"2020-01-01","United States"
1002,"2020-01-01","Canada"
1003,"2020-01-01","Australia"
1004,"2020-01-01","Germany"
1005,"2020-01-01","United States"
1006,"2020-01-01","United States"
1007,"2020-01-01","Canada"
1008,"2020-01-01","Australia"
1009,"2020-01-01","United States"
1010,"2020-01-01","United States"
1011,"2020-01-01","Germany"
1012,"2020-01-01","Australia"
1013,"2020-01-01","Canada"
1014,"2020-01-01","Canada"
1015,"2020-01-01","United States"
1016,"2020-01-01","Mexico"
1017,"2020-01-01","Australia"
1018,"2020-01-01","United States"
1019,"2020-01-01","United States"
1020,"2020-01-01","Mexico"
1021,"2020-01-01","United States"
1022,"2020-01-01","United States"
1023,"2020-01-01","Canada"
1024,"2020-01-01","Mexico"
1025,"2020-01-01","Australia"
1026,"2020-01-01","United States"
1027,"2020-01-01","United States"
1028,"2020-01-01","Germany"
1029,"2020-01-01","United States"
1030,"2020-01-01","United States"
1031,"2020-01-01","United States"
1032,"2020-01-01","Canada"
1033,"2020-01-01","United States"
1034,"2020-01-01","Mexico"
1035,"2020-01-01","United States"
1036,"2020-01-01","United States"
1037,"2020-01-01","United States"
1038,"2020-01-01","United States"
1039,"2020-01-01","Canada"
1040,"2020-01-01","Canada"
1041,"2020-01-01","Australia"
1042,"2020-01-01","Canada"
1043,"2020-01-01","Canada"
1044,"2020-01-01","Canada"
1045,"2020-01-01","United States"
1046,"2020-01-01","United States"
1047,"2020-01-01","Canada"
1048,"2020-01-01","United States"
1049,"2020-01-01","Japan"
1050,"2020-01-01","United States"
1051,"2020-01-01","Japan"
1052,"2020-01-01","Germany"
1053,"2020-01-01","Canada"
1054,"2020-01-01","United States"
1055,"2020-01-01","Australia"
1056,"2020-01-01","United States"
1057,"2020-01-01","United States"
1058,"2020-01-01","United States"
1059,"2020-01-01","United States"
1060,"2020-01-01","Mexico"
1061,"2020-01-01","Germany"
1062,"2020-01-01","United States"
1063,"2020-01-01","Canada"
1064,"2020-01-01","Mexico"
1065,"2020-01-01","United States"
1066,"2020-01-01","Canada"
1067,"2020-01-01","United States"
1068,"2020-01-01","Mexico"
1069,"2020-01-01","Canada"
1070,"2020-01-01","United States"
1071,"2020-01-01","Canada"
1072,"2020-01-01","Germany"
1073,"2020-01-01","Canada"
1074,"2020-01-01","United States"
1075,"2020-01-01","Canada"
1076,"2020-01-01","United States"
1077,"2020-01-01","Mexico"
1078,"2020-01-01","United States"
1079,"2020-01-01","United States"
1080,"2020-01-01","Japan"
1081,"2020-01-01","United States"
1082,"2020-01-01","United States"
1083,"2020-01-01","Australia"
1084,"2020-01-01","United States"
1085,"2020-01-01","Japan"
1086,"2020-01-01","Japan"
1087,"2020-01-01","United States"
1088,"2020-01-01","United States"
1089,"2020-01-01","Mexico"
1090,"2020-01-01","United States"
1091,"2020-01-01","United States"
1092,"2020-01-01","Australia"
1093,"2020-01-01","Mexico"
1094,"2020-01-01","United States"
1095,"2020-01-01","Mexico"
1096,"2020-01-01","Canada"
1097,"2020-01-01","Mexico"
1098,"2020-01-01","United States"
1099,"2020-01-01","United States"
