NAICS  Code,Kind of Business,Jan. 1993,Feb. 1993,Mar. 1993,Apr. 1993,May-93,Jun. 1993,Jul. 1993,Aug. 1993,Sep. 1993,Oct. 1993,Nov. 1993,Dec. 1993
,"Retail and food services sales, total","153,221","150,087","170,439","176,456","182,231","181,535","183,682","183,318","177,406","182,737","187,443","224,540"
,Retail sales and food services excl motor vehicle and parts,"121,021","117,300","131,181","135,401","140,841","138,540","140,704","141,612","137,132","142,450","148,461","185,536"
,Retail sales and food services excl gasoline stations,"140,694","138,027","157,276","163,079","168,142","167,536","169,235","169,197","164,030","168,776","173,923","210,804"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"108,494","105,240","118,018","122,024","126,752","124,541","126,257","127,491","123,756","128,489","134,941","171,800"
,"Retail sales, total","137,020","134,462","153,025","158,615","163,519","162,964","164,590","163,989","159,298","163,992","169,980","206,174"
,"Retail sales, total (excl. motor vehicle and parts dealers)","104,820","101,675","113,767","117,560","122,129","119,969","121,612","122,283","119,024","123,705","130,998","167,170"
,GAFO(1),"36,694","35,872","41,191","43,631","45,350","44,410","44,915","47,477","45,182","47,654","55,243","83,163"
441,Motor vehicle and parts dealers,"32,200","32,787","39,258","41,055","41,390","42,995","42,978","41,706","40,274","40,287","38,982","39,004"
"4411, 4412",Automobile and other motor vehicle dealers,"29,054","29,613","35,641","37,254","37,595","39,040","38,923","37,643","36,378","36,354","35,206","35,405"
4411,Automobile dealers,"27,823","28,364","33,803","35,150","35,095","36,890","36,647","35,804","34,668","34,873","33,932","34,077"
44111,New car dealers,"25,801","26,165","31,277","32,586","32,786","34,497","34,162","33,517","32,501","32,534","31,679","32,017"
44112,Used car dealers,"2,022","2,199","2,526","2,564","2,309","2,393","2,485","2,287","2,167","2,339","2,253","2,060"
4413,"Automotive parts, acc., and tire stores","3,146","3,174","3,617","3,801","3,795","3,955","4,055","4,063","3,896","3,933","3,776","3,599"
"442, 443","Furniture, home furn, electronics, and appliance stores","8,209","7,643","8,528","8,346","8,558","8,902","9,129","9,139","9,014","9,235","10,311","13,574"
442,Furniture and home furnishings stores,"4,104","3,908","4,369","4,372","4,535","4,568","4,682","4,733","4,621","4,775","5,158","5,631"
4421,Furniture stores,"2,553","2,447","2,713","2,646","2,766","2,744","2,807","2,775","2,751","2,822","3,027","3,248"
4422,Home furnishings stores,"1,551","1,461","1,656","1,726","1,769","1,824","1,875","1,958","1,870","1,953","2,131","2,383"
44221,Floor covering stores,828,805,916,967,933,976,974,"1,011","1,013","1,042","1,005",990
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443,Electronics and appliance stores,"4,105","3,735","4,159","3,974","4,023","4,334","4,447","4,406","4,393","4,460","5,153","7,943"
443141,Household appliance stores,641,593,669,701,727,803,920,817,741,773,804,948
443142,Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
444,Building mat. and garden equip. and supplies dealers,"8,947","9,208","11,073","12,374","13,296","13,209","12,523","12,470","12,149","12,220","11,872","11,623"
4441,Building mat. and supplies dealers,"7,746","7,932","9,408","10,146","10,769","11,083","10,813","10,905","10,578","10,711","10,388","9,947"
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413,Hardware stores,879,805,983,"1,092","1,285","1,205","1,181","1,098","1,073","1,107","1,094","1,198"
445,Food and beverage stores,"30,039","28,126","30,455","30,820","31,891","31,352","33,029","31,215","30,622","31,223","30,803","34,941"
4451,Grocery stores,"27,571","25,748","27,911","28,112","29,096","28,576","30,067","28,470","28,022","28,532","28,081","31,132"
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
